MPI_reduce 8 5242880
Run 61 time 0.006036997
Run 62 time 0.006011963
Run 63 time 0.005941868
Run 64 time 0.006045103
Run 65 time 0.006101131
Run 66 time 0.006080866
Run 67 time 0.006060839
Run 68 time 0.006062031
Run 69 time 0.006078959
Run 70 time 0.006255865
Run 71 time 0.006041050
Run 72 time 0.006092072
Run 73 time 0.006034136
Run 74 time 0.006032228
Run 75 time 0.006046057
Run 76 time 0.006041050
Run 77 time 0.006011009
Run 78 time 0.005912066
Run 79 time 0.006031036
Run 80 time 0.005991936
Run 81 time 0.006093979
Run 82 time 0.005764008
Run 83 time 0.006104231
Run 84 time 0.006002188
Run 85 time 0.006350994
Run 86 time 0.006008863
Run 87 time 0.006064177
Run 88 time 0.005892038
Run 89 time 0.006199837
Run 90 time 0.006016016
Run 91 time 0.006074905
Run 92 time 0.005872965
Run 93 time 0.006050825
Run 94 time 0.006031036
Run 95 time 0.006012917
Run 96 time 0.006029844
Run 97 time 0.006026983
Run 98 time 0.005998850
Run 99 time 0.006112814
Run 100 time 0.007164001
binary_reduce 8 5242880 6
Run 1 time 0.023555040
Run 2 time 0.002500057
Run 3 time 0.002356768
Run 4 time 0.002334118
Run 5 time 0.002346992
Run 6 time 0.002241135
Run 7 time 0.002267122
Run 8 time 0.002252102
Run 9 time 0.002233982
Run 10 time 0.003131151
Run 11 time 0.002485037
Run 12 time 0.002861023
Run 13 time 0.004461050
Run 14 time 0.002504826
Run 15 time 0.002527952
Run 16 time 0.002225876
Run 17 time 0.002331972
Run 18 time 0.002244949
Run 19 time 0.002225876
Run 20 time 0.002253056
Run 21 time 0.002223015
Run 22 time 0.002223015
Run 23 time 0.002269983
Run 24 time 0.002254009
Run 25 time 0.002250910
Run 26 time 0.002210855
Run 27 time 0.002573013
Run 28 time 0.002131939
Run 29 time 0.002401829
Run 30 time 0.002609015
Run 31 time 0.002678156
Run 32 time 0.003088951
Run 33 time 0.002981901
Run 34 time 0.002984047
Run 35 time 0.002454996
Run 36 time 0.002102137
Run 37 time 0.002231121
Run 38 time 0.002225876
Run 39 time 0.002161980
Run 40 time 0.002224922
Run 41 time 0.002260923
Run 42 time 0.002208948
Run 43 time 0.002239943
Run 44 time 0.002224922
Run 45 time 0.002573013
Run 46 time 0.002213955
Run 47 time 0.002331018
Run 48 time 0.002106905
Run 49 time 0.002255201
Run 50 time 0.002223969
Run 51 time 0.002331972
Run 52 time 0.002332926
Run 53 time 0.002281904
Run 54 time 0.002253056
Run 55 time 0.002138138
Run 56 time 0.002331972
Run 57 time 0.002345085
Run 58 time 0.002333164
Run 59 time 0.002334118
Run 60 time 0.002333164
Run 61 time 0.002332211
Run 62 time 0.002346992
Run 63 time 0.002109051
Run 64 time 0.002357006
Run 65 time 0.002256155
Run 66 time 0.002342939
Run 67 time 0.002109051
Run 68 time 0.002226114
Run 69 time 0.002260923
Run 70 time 0.002333879
Run 71 time 0.002224922
Run 72 time 0.002329826
Run 73 time 0.002332926
Run 74 time 0.002371073
Run 75 time 0.002227068
Run 76 time 0.002220869
Run 77 time 0.002331018
Run 78 time 0.002332926
Run 79 time 0.002331972
Run 80 time 0.002332211
Run 81 time 0.002331972
Run 82 time 0.002092838
Run 83 time 0.002354145
Run 84 time 0.002223015
Run 85 time 0.002332926
Run 86 time 0.002331972
Run 87 time 0.002333164
Run 88 time 0.002332926
Run 89 time 0.002225876
Run 90 time 0.002254963
Run 91 time 0.002252102
Run 92 time 0.002226114
Run 93 time 0.002332926
Run 94 time 0.002331018
Run 95 time 0.002144098
Run 96 time 0.002332211
Run 97 time 0.002333164
Run 98 time 0.002331018
Run 99 time 0.002332926
Run 100 time 0.002218008
binary_reduce2 8 5242880 10
Run 1 time 0.022531033
Run 2 time 0.001925945
Run 3 time 0.002030134
Run 4 time 0.002011061
Run 5 time 0.002003908
Run 6 time 0.001986980
Run 7 time 0.002007008
Run 8 time 0.002004147
Run 9 time 0.002035141
Run 10 time 0.002035856
Run 11 time 0.002039909
Run 12 time 0.002000809
Run 13 time 0.002010107
Run 14 time 0.002000809
Run 15 time 0.001991034
Run 16 time 0.002009869
Run 17 time 0.002032042
Run 18 time 0.002043009
Run 19 time 0.002028942
Run 20 time 0.001950026
Run 21 time 0.001997948
Run 22 time 0.001997232
Run 23 time 0.002017021
Run 24 time 0.002002001
Run 25 time 0.002039909
Run 26 time 0.002001047
Run 27 time 0.001999855
Run 28 time 0.002035856
Run 29 time 0.002036095
Run 30 time 0.001996040
Run 31 time 0.001987934
Run 32 time 0.002068996
Run 33 time 0.002011061
Run 34 time 0.001995087
Run 35 time 0.003124952
Run 36 time 0.002002954
Run 37 time 0.001986980
Run 38 time 0.002000093
Run 39 time 0.002014160
Run 40 time 0.002007008
Run 41 time 0.002002001
Run 42 time 0.002007961
Run 43 time 0.001998186
Run 44 time 0.002020121
Run 45 time 0.001999140
Run 46 time 0.002045155
Run 47 time 0.001997948
Run 48 time 0.002015829
Run 49 time 0.001982927
Run 50 time 0.001993895
Run 51 time 0.001984119
Run 52 time 0.002056122
Run 53 time 0.002657175
Run 54 time 0.002781868
Run 55 time 0.002014875
Run 56 time 0.002002001
Run 57 time 0.002006054
Run 58 time 0.001986027
Run 59 time 0.001996040
Run 60 time 0.002019167
Run 61 time 0.002060890
Run 62 time 0.001973867
Run 63 time 0.002008915
Run 64 time 0.002002954
Run 65 time 0.002003193
Run 66 time 0.002029181
Run 67 time 0.002066135
Run 68 time 0.001994133
Run 69 time 0.002008915
Run 70 time 0.001999855
Run 71 time 0.002000809
Run 72 time 0.001986027
Run 73 time 0.001986980
Run 74 time 0.002155066
Run 75 time 0.002038956
Run 76 time 0.002024889
Run 77 time 0.002013922
Run 78 time 0.001989841
Run 79 time 0.001994133
Run 80 time 0.001985073
Run 81 time 0.001991034
Run 82 time 0.002000093
Run 83 time 0.002038956
Run 84 time 0.001990080
Run 85 time 0.001991034
Run 86 time 0.002012014
Run 87 time 0.002035141
Run 88 time 0.001981020
Run 89 time 0.001989126
Run 90 time 0.002959967
Run 91 time 0.002001047
Run 92 time 0.002012014
Run 93 time 0.002069950
Run 94 time 0.002017021
Run 95 time 0.002017021
Run 96 time 0.002026081
Run 97 time 0.001930952
Run 98 time 0.002030134
Run 99 time 0.001996040
Run 100 time 0.002039909
MPI_reduce 12 5242880
Run 1 time 0.017176867
Run 2 time 0.004078865
Run 3 time 0.004101038
Run 4 time 0.004045963
Run 5 time 0.004053116
Run 6 time 0.004026890
Run 7 time 0.004016161
Run 8 time 0.004307032
Run 9 time 0.004029989
Run 10 time 0.004009962
Run 11 time 0.004027128
Run 12 time 0.003986120
Run 13 time 0.004000902
Run 14 time 0.003972054
Run 15 time 0.004128933
Run 16 time 0.004074097
Run 17 time 0.003949881
Run 18 time 0.004141092
Run 19 time 0.004040003
Run 20 time 0.003969908
Run 21 time 0.004388094
Run 22 time 0.004009962
Run 23 time 0.004052162
Run 24 time 0.003946781
Run 25 time 0.003955126
Run 26 time 0.004102945
Run 27 time 0.003949881
Run 28 time 0.003946066
Run 29 time 0.003947973
Run 30 time 0.004563093
Run 31 time 0.003991127
Run 32 time 0.003978014
Run 33 time 0.004206896
Run 34 time 0.003994942
Run 35 time 0.003958941
Run 36 time 0.004142046
Run 37 time 0.004050970
Run 38 time 0.003951073
Run 39 time 0.003938913
Run 40 time 0.003972054
Run 41 time 0.003966808
Run 42 time 0.003957033
Run 43 time 0.004029989
Run 44 time 0.004276037
Run 45 time 0.004179955
Run 46 time 0.003966093
Run 47 time 0.004057884
Run 48 time 0.003973007
Run 49 time 0.003953934
Run 50 time 0.003952980
Run 51 time 0.003951073
Run 52 time 0.003952980
Run 53 time 0.003957033
Run 54 time 0.004114866
Run 55 time 0.003963947
Run 56 time 0.004034996
Run 57 time 0.004009962
Run 58 time 0.003952980
Run 59 time 0.003968000
Run 60 time 0.003960133
Run 61 time 0.004004955
Run 62 time 0.003954887
Run 63 time 0.003956079
Run 64 time 0.004115820
Run 65 time 0.003955126
Run 66 time 0.003945827
Run 67 time 0.004019022
Run 68 time 0.003987074
Run 69 time 0.003956795
Run 70 time 0.003951073
Run 71 time 0.003961086
Run 72 time 0.003949881
Run 73 time 0.003969908
Run 74 time 0.003952026
Run 75 time 0.004004002
