MPI_allreduce 8 524288
Run 16 time 0.000640869
Run 17 time 0.000535011
Run 18 time 0.000731945
Run 19 time 0.000704050
Run 20 time 0.000841141
Run 21 time 0.000853062
Run 22 time 0.000671864
Run 23 time 0.000679016
Run 24 time 0.000713825
Run 25 time 0.000545025
Run 26 time 0.000521183
Run 27 time 0.000751972
Run 28 time 0.000622034
Run 29 time 0.000563145
Run 30 time 0.000723124
Run 31 time 0.000693083
Run 32 time 0.000694036
Run 33 time 0.000568867
Run 34 time 0.000672102
Run 35 time 0.000526905
Run 36 time 0.000520945
Run 37 time 0.000567913
Run 38 time 0.000611067
Run 39 time 0.000765085
Run 40 time 0.000705004
Run 41 time 0.000658035
Run 42 time 0.000606060
Run 43 time 0.000618935
Run 44 time 0.000690937
Run 45 time 0.000633001
Run 46 time 0.000679970
Run 47 time 0.000565052
Run 48 time 0.000535011
Run 49 time 0.000564098
Run 50 time 0.000603914
Run 51 time 0.000712872
Run 52 time 0.000534058
Run 53 time 0.000570059
Run 54 time 0.000791073
Run 55 time 0.000637054
Run 56 time 0.000809908
Run 57 time 0.000653028
Run 58 time 0.000850916
Run 59 time 0.000651836
Run 60 time 0.000662088
Run 61 time 0.000745058
Run 62 time 0.000707150
Run 63 time 0.000574827
Run 64 time 0.000540972
Run 65 time 0.000672102
Run 66 time 0.000764132
Run 67 time 0.000759125
Run 68 time 0.000694036
Run 69 time 0.000775099
Run 70 time 0.000607967
Run 71 time 0.000553131
Run 72 time 0.000674963
Run 73 time 0.000568867
Run 74 time 0.000594139
Run 75 time 0.000571012
Run 76 time 0.000514984
Run 77 time 0.000478983
Run 78 time 0.000474930
Run 79 time 0.000678062
Run 80 time 0.000582933
Run 81 time 0.000535011
Run 82 time 0.000579119
Run 83 time 0.000486135
Run 84 time 0.000478983
Run 85 time 0.000474930
Run 86 time 0.000481129
Run 87 time 0.000482082
Run 88 time 0.000478029
Run 89 time 0.000478983
Run 90 time 0.000477076
Run 91 time 0.000476122
Run 92 time 0.000477791
Run 93 time 0.000528097
Run 94 time 0.000605106
Run 95 time 0.000556946
Run 96 time 0.000524044
Run 97 time 0.000622034
Run 98 time 0.000477076
Run 99 time 0.000474930
Run 100 time 0.000477076
2TreeSanders_allreduce2 8 524288 3
Run 1 time 0.008197069
Run 2 time 0.000456095
Run 3 time 0.000453949
Run 4 time 0.000454903
Run 5 time 0.000468016
Run 6 time 0.000455856
Run 7 time 0.000456095
Run 8 time 0.000457048
Run 9 time 0.000474930
Run 10 time 0.000455856
Run 11 time 0.000449896
Run 12 time 0.000453949
Run 13 time 0.000432014
Run 14 time 0.000455141
Run 15 time 0.000458002
Run 16 time 0.000446081
Run 17 time 0.000458002
Run 18 time 0.000456810
Run 19 time 0.000453949
Run 20 time 0.000438929
Run 21 time 0.000496864
Run 22 time 0.000448942
Run 23 time 0.000445127
Run 24 time 0.000457048
Run 25 time 0.000457048
Run 26 time 0.000447035
Run 27 time 0.000452995
Run 28 time 0.000456095
Run 29 time 0.000436783
Run 30 time 0.000460148
Run 31 time 0.000471115
Run 32 time 0.000455141
Run 33 time 0.000435114
Run 34 time 0.000452042
Run 35 time 0.000446081
Run 36 time 0.000422001
Run 37 time 0.000441074
